"Index","My exec time","Other exec time"
1,190.639037132,124.152205944
2,206.686182022,159.195235014
3,162.267311096,164.201638937
4,182.299638033,221.377575874
5,132.208449841,162.199706078
6,152.239833117,149.176033974
7,152.239833117,132.163321972
8,205.336503983,173.197736025
9,138.224360943,161.22991395
10,228.340483904,121.148519039
11,181.283348083,147.165704012
12,210.308521986,140.152947903
13,133.201218128,179.233612061
14,166.256262064,169.184362888
15,141.217736006,181.251331806
16,169.246505976,117.128409147
17,136.21162796,174.235455036
18,165.240883112,212.250934839
19,162.25812602,169.245977879
20,245.368939877,168.253568172
21,214.361694813,143.16601181
22,225.341166019,225.23375392
23,150.209060907,127.153768063
24,122.163047075,222.464989185
25,163.273545027,199.246370792
26,172.258702993,150.157207012
27,185.305236101,114.144917011
28,198.405820847,179.222509146
29,130.219812155,125.145918131
30,172.250533819,197.22224021